id,employee_id,department,perfomance_score,years_with_company,salary
927,58,vel lectus,89,927,33
928,36,vestibulum rutrum,48,928,19
929,78,imperdiet,27,929,21
930,72,odio porttitor,67,930,81
931,67,aliquam convallis,85,931,34
932,75,rhoncus aliquet,60,932,36
933,38,dictumst,24,933,62
934,31,consequat morbi,27,934,74
935,28,elit sodales,99,935,99
936,100,eget elit,7,936,59
937,5,suscipit,22,937,77
938,82,mattis,63,938,100
939,73,nonummy,19,939,88
940,57,vivamus,74,940,45
941,21,in,56,941,70
942,42,ut ultrices,97,942,94
943,16,congue,88,943,23
944,6,aliquet,22,944,39
945,83,curae mauris,79,945,74
946,72,sociis natoque,28,946,25
947,25,nam ultrices,57,947,20
948,24,potenti nullam,11,948,2
949,13,eget eros,26,949,14
950,43,integer,57,950,1
951,21,ridiculus mus,66,951,55
952,42,augue quam,48,952,35
953,50,mi,30,953,7
954,7,sodales sed,68,954,40
955,91,tortor quis,42,955,54
956,36,et,22,956,23
957,5,velit donec,38,957,60
958,92,justo in,9,958,11
959,23,arcu,29,959,74
960,22,sit,43,960,52
961,36,sed justo,66,961,71
962,15,curabitur,82,962,46
963,6,duis,43,963,70
964,91,felis eu,92,964,50
965,45,sapien a,78,965,91
966,96,at,34,966,41
967,5,sapien,68,967,13
968,61,lacinia,65,968,45
969,93,vel,69,969,75
970,6,rutrum nulla,89,970,47
971,36,tincidunt ante,84,971,82
972,16,feugiat non,25,972,63
973,14,donec,53,973,48
974,31,consequat ut,71,974,28
975,22,nulla,39,975,92
976,40,aenean lectus,6,976,30
977,7,lectus,90,977,96
978,67,nullam,9,978,34
979,71,pellentesque ultrices,35,979,31
980,74,ut,59,980,23
981,23,amet,77,981,57
982,18,turpis,62,982,79
983,98,velit,7,983,72
984,68,justo pellentesque,90,984,40
985,46,nibh fusce,39,985,3
986,15,velit,48,986,82
987,35,luctus,16,987,71
988,95,vel,68,988,60
989,76,lacus curabitur,38,989,20
990,93,at nunc,72,990,37
991,19,ligula,71,991,31
992,72,pulvinar,25,992,82
993,31,vel,70,993,30
994,8,velit,39,994,52
995,93,aliquam augue,85,995,57
996,7,semper,32,996,79
997,58,in tempor,18,997,45
998,9,in est,100,998,78
999,57,ante vel,54,999,72
1000,68,ut massa,44,1000,32
